-89.587,0.030,11.303,-9.807,-0.006,0.092,-0.003,0.001,0.001
-89.563,0.025,11.305,-9.816,0.004,0.107,-0.003,0.001,0.001
-89.545,0.029,11.307,-9.807,-0.011,0.107,-0.004,-0.001,-0.000
-89.528,0.027,11.309,-9.811,-0.001,0.107,-0.004,-0.002,0.001
-89.500,0.021,11.312,-9.821,0.004,0.126,-0.004,-0.002,-0.000
-89.491,0.011,11.315,-9.811,0.013,0.102,-0.005,-0.002,0.001
-89.486,0.001,11.319,-9.816,0.013,0.097,-0.006,-0.003,0.001
-89.487,0.014,11.322,-9.816,-0.020,0.087,-0.006,-0.002,0.001
-89.593,0.010,11.326,-9.802,0.004,-0.075,-0.005,-0.002,0.001
-89.607,0.013,11.328,-9.802,-0.006,0.049,-0.003,-0.001,0.001
-89.664,0.022,11.330,-9.807,-0.016,-0.023,-0.004,0.001,-0.000
-89.725,0.023,11.332,-9.811,-0.006,-0.037,-0.003,0.001,0.001
-89.676,0.019,11.333,-9.816,0.004,0.121,-0.002,0.002,0.001
-89.637,0.018,11.335,-9.821,-0.001,0.121,-0.004,0.002,0.001
-89.624,0.020,11.337,-9.802,-0.006,0.083,-0.003,0.001,0.001
-89.609,0.022,11.340,-9.802,-0.006,0.087,-0.004,0.001,0.001
-89.614,0.018,11.342,-9.807,0.004,0.059,-0.003,-0.001,0.001
-89.629,0.023,11.343,-9.802,-0.011,0.040,-0.003,0.001,0.001
-89.639,0.031,11.345,-9.797,-0.016,0.049,-0.003,-0.001,0.001
-89.634,0.031,11.347,-9.807,-0.006,0.068,-0.003,0.001,-0.000
-89.618,0.032,11.349,-9.807,-0.006,0.087,-0.003,0.001,0.001
-89.606,0.029,11.351,-9.811,-0.001,0.087,-0.004,-0.001,-0.000
-89.605,0.033,11.354,-9.807,-0.011,0.068,-0.004,0.001,0.001
-89.608,0.028,11.356,-9.802,0.004,0.063,-0.004,-0.001,0.001
-89.614,0.023,11.359,-9.807,0.004,0.059,-0.004,-0.001,0.001
-89.621,0.024,11.361,-9.802,-0.006,0.054,-0.003,0.001,0.001
-89.622,0.029,11.362,-9.802,-0.011,0.063,-0.002,-0.001,0.001
-89.611,0.030,11.363,-9.802,-0.006,0.083,-0.003,-0.001,0.001
-89.598,0.034,11.366,-9.802,-0.011,0.087,-0.004,-0.001,0.001
-89.595,0.037,11.368,-9.807,-0.011,0.073,-0.003,0.001,0.001
-89.598,0.038,11.370,-9.816,-0.006,0.063,-0.003,0.001,0.001
-89.596,0.038,11.371,-9.811,-0.006,0.073,-0.003,0.001,0.001
-89.600,0.041,11.373,-9.802,-0.011,0.063,-0.003,-0.001,0.001
-89.596,0.041,11.375,-9.807,-0.006,0.073,-0.003,0.001,0.001
-89.600,0.037,11.378,-9.807,-0.001,0.063,-0.004,0.001,0.001
-89.600,0.035,11.379,-9.811,-0.001,0.068,-0.003,-0.001,0.001
-89.591,0.032,11.381,-9.807,-0.001,0.083,-0.003,0.001,0.001
-89.595,0.030,11.383,-9.821,-0.001,0.063,-0.003,-0.001,0.001
-89.599,0.034,11.385,-9.816,-0.011,0.063,-0.003,0.001,0.001
-89.599,0.034,11.387,-9.816,-0.006,0.068,-0.003,0.001,0.001
-89.596,0.031,11.388,-9.821,-0.001,0.073,-0.003,0.001,-0.000
-89.596,0.034,11.390,-9.816,-0.011,0.068,-0.003,0.001,-0.000
-89.585,0.038,11.393,-9.797,-0.011,0.087,-0.004,-0.001,0.001
-89.626,0.026,11.396,-9.845,0.013,0.006,-0.005,0.001,0.001
-89.607,0.027,11.398,-9.811,-0.006,0.097,-0.004,-0.001,0.001
-89.567,0.044,11.400,-9.764,-0.030,0.130,-0.003,-0.001,0.001
-89.565,0.043,11.402,-9.831,-0.006,0.078,-0.003,-0.001,-0.000
-89.587,0.039,11.404,-9.831,-0.001,0.035,-0.003,0.006,0.001
-89.558,0.033,11.406,-9.831,0.004,0.111,-0.003,0.005,0.001
-89.568,0.033,11.409,-9.826,-0.006,0.059,-0.005,-0.001,0.001
-89.602,0.039,11.411,-9.826,-0.016,0.025,-0.004,-0.005,-0.000
-89.578,0.036,11.414,-9.807,-0.001,0.111,-0.004,-0.006,0.001
-89.579,0.037,11.415,-9.797,-0.006,0.073,-0.003,-0.003,0.001
-89.582,0.033,11.417,-9.797,-0.001,0.068,-0.003,-0.001,-0.000
-89.578,0.027,11.419,-9.807,0.004,0.078,-0.003,0.001,0.001
-89.609,0.029,11.421,-9.816,-0.006,0.016,-0.003,0.003,0.001
-89.609,0.032,11.423,-9.821,-0.011,0.063,-0.003,0.004,-0.000
-89.604,0.036,11.424,-9.811,-0.011,0.073,-0.002,0.003,0.001
-89.621,0.042,11.425,-9.807,-0.016,0.040,-0.002,0.001,-0.000
-89.586,0.044,11.426,-9.811,-0.011,0.121,-0.002,-0.001,0.001
-89.532,0.041,11.428,-9.797,-0.001,0.164,-0.003,-0.002,0.001
-89.538,0.035,11.430,-9.816,0.004,0.073,-0.004,-0.003,0.001
-89.519,0.034,11.434,-9.807,-0.006,0.111,-0.005,-0.002,-0.000
-89.540,0.044,11.436,-9.797,-0.020,0.049,-0.004,-0.001,0.001
-89.602,0.050,11.438,-9.797,-0.016,-0.018,-0.003,0.001,0.001
-89.616,0.058,11.440,-9.797,-0.020,0.044,-0.004,0.002,0.001
-89.614,0.053,11.442,-9.802,-0.001,0.068,-0.003,0.002,0.001
-89.609,0.058,11.444,-9.826,-0.016,0.073,-0.003,0.001,0.001
-89.550,0.046,11.446,-9.821,0.008,0.159,-0.003,-0.001,0.001
-89.474,0.030,11.449,-9.816,0.018,0.198,-0.005,-0.002,0.001
