-5.81999 	-14.58 	-33.54
-26.04 	-51.3 	-22.5
-25.86 	-51.3 	-22.5
-25.8 	-51.3 	-23.34
-25.62 	-51.12 	-24.3
-25.5 	-51.06 	-25.2
-25.5 	-50.76 	-26.16
-25.32 	-50.58 	-27.18
-25.14 	-50.34 	-28.02
-25.14 	-50.22 	-29.04
-25.14 	-49.98 	-29.94
-25.08 	-49.62 	-30.18
-24.9 	-49.5 	-30
-24.96 	-49.26 	-30
-24.72 	-49.26 	-29.76
-25.08 	-48.96 	-29.76
-25.26 	-48.9 	-29.76
-25.44 	-48.78 	-29.76
-25.5 	-48.6 	-29.82
-25.62 	-48.42 	-29.94
-25.68 	-48.36 	-30.48
-25.26 	-48.36 	-30.72
-25.08 	-48.42 	-31.32
-24.42 	-48.36 	-31.8
-23.76 	-48 	-32.64
-23.04 	-47.34 	-33.36
-22.62 	-46.98 	-34.14
-22.26 	-46.98 	-34.68
-21.84 	-46.8 	-34.92
-21.78 	-46.5 	-35.1
-21.66 	-46.32 	-35.1
-22.32 	-46.5 	-34.86
-23.04 	-47.28 	-33.78
-23.88 	-48.24 	-32.58
-25.02 	-49.32 	-30.84
-26.22 	-50.16 	-28.8
-27.78 	-51.12 	-26.88
-29.04 	-51.84 	-24.96
-30.36 	-52.56 	-23.1
-31.08 	-53.1 	-21.18
-31.98 	-53.4 	-19.86
-32.64 	-53.4 	-18.66
-32.88 	-53.46 	-18.42
-33 	-53.4 	-18.6
-32.52 	-53.22 	-19.02
-32.34 	-53.4 	-19.56
-31.98 	-53.1 	-20.46
-31.56 	-52.74 	-21.48
-31.08 	-52.2 	-22.56
-30.9 	-51.48 	-23.76
-30.48 	-50.52 	-24.42
-30.3 	-49.26 	-25.2
-30.66 	-47.82 	-25.62
-30.9 	-46.14 	-26.4
-31.26 	-44.28 	-26.58
-31.62 	-42.18 	-26.76
-31.8 	-40.14 	-26.94
-31.98 	-37.92 	-26.52
-32.7 	-35.22 	-25.44
-33.6 	-33.18 	-22.74
-34.08 	-31.26 	-17.7
-33.54 	-30.54 	-10.68
-30.9 	-31.62 	-2.64
-25.98 	-34.38 	5.75999
-19.38 	-37.14 	13.56
-12.24 	-40.14 	21
-4.2 	-42.54 	27.54
4.79999 	-43.92 	32.52
13.5 	-44.34 	34.98
20.64 	-43.08 	35.52
25.14 	-39.24 	34.74
26.82 	-33.78 	34.2
25.2 	-27.84 	33.72
21.9 	-21.78 	33.54
16.56 	-17.1 	31.86
8.39999 	-13.44 	30.6
0.299988 	-11.16 	27.36
-7.62 	-10.5 	22.98
-15.42 	-11.88 	17.34
-22.14 	-13.86 	10.14
-26.58 	-16.56 	2.7
-29.1 	-19.26 	-5.81999
-29.58 	-21.9 	-13.26
-27.06 	-23.82 	-21.3
-23.52 	-24.18 	-27.06
-18.9 	-23.16 	-31.14
-13.74 	-21.24 	-33.96
-9.23999 	-18.72 	-35.64
-5.81999 	-16.14 	-36.24
-3.65999 	-13.8 	-36.18
-3.84 	-11.76 	-34.38
-5.75999 	-11.04 	-32.46
-9.95999 	-12.42 	-29.22
-14.82 	-16.2 	-24.72
-19.44 	-21.78 	-18.42
-22.62 	-28.56 	-11.04
-23.94 	-35.22 	-3.06
-23.22 	-41.76 	5.45999
-19.44 	-46.86 	12.96
-13.5 	-50.7 	20.94
-5.28 	-52.14 	27.18
3.17999 	-50.76 	31.68
11.34 	-46.68 	33.78
18.6 	-41.04 	33.96
24.42 	-34.68 	32.7
28.62 	-28.02 	30.42
30.42 	-21.24 	27.72
29.88 	-14.82 	24.54
27.18 	-9.53999 	21.48
22.5 	-5.09999 	18.6
16.44 	-2.03999 	14.88
8.87999 	-0.479996 	11.46
0.599991 	-0.599991 	7.92
-8.15999 	-2.45999 	4.31999
-16.02 	-6.84 	0.539993
-22.32 	-12.84 	-3.95999
-26.76 	-20.1 	-8.39999
-28.56 	-28.5 	-12.96
-28.32 	-36.78 	-16.56
-25.86 	-44.64 	-19.74
-22.08 	-51.54 	-22.32
-17.04 	-57.06 	-24.78
-11.22 	-60.48 	-26.94
-5.03999 	-62.1 	-28.98
1.2 	-61.32 	-30.84
6.95999 	-58.08 	-32.76
11.94 	-53.28 	-34.26
14.76 	-47.7 	-36
15.36 	-41.46 	-37.56
13.68 	-35.34 	-38.46
9.78 	-30.12 	-38.28
3.48 	-26.58 	-36.06
-4.01999 	-25.92 	-31.86
