0.568470, -0.423819, 0.561227, 0.426889
0.568567, -0.423760, 0.561130, 0.426946
0.568742, -0.423657, 0.560954, 0.427047
0.568754, -0.423709, 0.560941, 0.426997
0.568233, -0.424225, 0.561465, 0.426489
0.568233, -0.424189, 0.561467, 0.426523
0.568316, -0.424111, 0.561384, 0.426598
0.568442, -0.424054, 0.561258, 0.426652
0.568529, -0.424003, 0.561172, 0.426701
0.568506, -0.424016, 0.561196, 0.426686
0.568423, -0.424007, 0.561282, 0.426694
0.568418, -0.423950, 0.561288, 0.426749
0.568438, -0.423935, 0.561269, 0.426762
0.568436, -0.423919, 0.561272, 0.426776
0.568369, -0.423956, 0.561341, 0.426738
0.568394, -0.423959, 0.561317, 0.426734
0.568424, -0.423972, 0.561288, 0.426719
0.568463, -0.423956, 0.561250, 0.426734
0.568444, -0.423964, 0.561270, 0.426724
0.568405, -0.424006, 0.561311, 0.426681
0.568352, -0.423970, 0.561365, 0.426715
0.568367, -0.423998, 0.561352, 0.426686
0.568355, -0.423988, 0.561364, 0.426694
0.568339, -0.424036, 0.561382, 0.426645
0.568287, -0.424072, 0.561436, 0.426608
0.568262, -0.424035, 0.561462, 0.426643
0.568235, -0.424060, 0.561490, 0.426617
0.568210, -0.424014, 0.561516, 0.426661
0.568217, -0.423990, 0.561511, 0.426684
0.568265, -0.423936, 0.561464, 0.426735
0.568269, -0.423954, 0.561461, 0.426716
0.568294, -0.423952, 0.561437, 0.426716
0.568290, -0.423986, 0.561442, 0.426681
0.568311, -0.423979, 0.561422, 0.426686
0.568288, -0.423987, 0.561446, 0.426677
0.568302, -0.423900, 0.561434, 0.426762
0.568348, -0.423920, 0.561388, 0.426740
0.568423, -0.423924, 0.561314, 0.426734
0.568406, -0.423974, 0.561332, 0.426684
0.568263, -0.424045, 0.561477, 0.426612
0.568283, -0.424084, 0.561458, 0.426572
0.568291, -0.424106, 0.561451, 0.426549
0.568300, -0.424106, 0.561443, 0.426547
0.568337, -0.424031, 0.561407, 0.426619
0.568330, -0.424032, 0.561415, 0.426617
0.568375, -0.424098, 0.561371, 0.426551
0.568428, -0.424037, 0.561318, 0.426609
0.568424, -0.423992, 0.561324, 0.426652
0.568484, -0.423972, 0.561265, 0.426670
0.568551, -0.423908, 0.561198, 0.426732
0.568535, -0.423961, 0.561216, 0.426678
0.568537, -0.423959, 0.561214, 0.426678
0.568447, -0.423992, 0.561306, 0.426644
0.568389, -0.424042, 0.561366, 0.426593
0.568362, -0.424066, 0.561394, 0.426567
0.568397, -0.424026, 0.561360, 0.426606
0.568419, -0.423981, 0.561340, 0.426649
0.568412, -0.423997, 0.561348, 0.426632
0.568432, -0.424022, 0.561329, 0.426605
0.568575, -0.423914, 0.561185, 0.426709
0.568763, -0.423825, 0.560998, 0.426795
0.568912, -0.423704, 0.560848, 0.426913
0.569134, -0.423529, 0.560624, 0.427084
0.569111, -0.423507, 0.560649, 0.427105
0.568985, -0.423657, 0.560778, 0.426955
0.568951, -0.423744, 0.560813, 0.426868
0.569040, -0.423676, 0.560725, 0.426932
0.569082, -0.423627, 0.560683, 0.426980
0.569132, -0.423591, 0.560634, 0.427013
0.569206, -0.423536, 0.560560, 0.427066
0.569090, -0.423609, 0.560679, 0.426992
0.569015, -0.423723, 0.560753, 0.426882
0.568676, -0.423374, 0.561098, 0.427227
0.568272, -0.423447, 0.561507, 0.427154
0.568169, -0.423898, 0.561611, 0.426708
0.568362, -0.424389, 0.561413, 0.426223
0.568286, -0.424570, 0.561489, 0.426044
0.567992, -0.424604, 0.561786, 0.426010
0.567693, -0.424328, 0.562090, 0.426282
0.567780, -0.424286, 0.562006, 0.426320
0.567789, -0.424299, 0.562001, 0.426300
0.567325, -0.424411, 0.562471, 0.426187
